source_folder,image_key,listing_url,photo_url,price,title,location,origin_city_list
Other,474122149_596511672984314_8256611798855459347_n.jpg,https://www.facebook.com/marketplace/item/3925625347725729/,woodbury_ny_500mi_files/474122149_596511672984314_8256611798855459347_n.jpg,$80,Ryobi 6 Port Fast Charger with USB,"Woodhaven, NY",woodbury_ny_500mi
Other,471626045_1533857583986514_2517692786441308111_n.jpg,https://www.facebook.com/marketplace/item/1643701059825877/,woodbury_ny_500mi_exact_files/471626045_1533857583986514_2517692786441308111_n.jpg,$400,Ryobi 40v 21 inch mower,"Hubert, NC",woodbury_ny_500mi_exact
Other,491757410_1199224378571524_5065608013392462833_n.jpg,https://www.facebook.com/marketplace/item/1025436895680872/,woodbury_ny_500mi_exact_files/491757410_1199224378571524_5065608013392462833_n.jpg,$100,Ryobi Electric Pruning Saw,"West Hempstead, NY",woodbury_ny_500mi_exact
Other,488193355_976879661278949_5870786215217602492_n.jpg,https://www.facebook.com/marketplace/item/1223215932755620/,cedar_rapid_ia_500mi_exact_files/488193355_976879661278949_5870786215217602492_n.jpg,$50,Brand New Ryobi jig saw,"Mt Orab, OH",cedar_rapid_ia_500mi_exact
Other,445364413_1638741523592749_6660902870427728840_n.jpg,https://www.facebook.com/marketplace/item/444056891662687/,kingman_az_exact_files/445364413_1638741523592749_6660902870427728840_n.jpg,$55,Ryobi Multi-Tool,"Phoenix, AZ",kingman_az_exact
Other,483538748_1301596517778086_2641880485136040202_n.jpg,https://www.facebook.com/marketplace/item/518774804598364/,cedar_rapid_ia_500mi_files/483538748_1301596517778086_2641880485136040202_n.jpg,$130,Ryobi Leaf Vacuum/Mulcher,"Cedar Lake, IN",cedar_rapid_ia_500mi
Other,481193094_481178765055486_3639038657085279265_n.jpg,,,,,,
Other,499251480_1046322103532206_6866293123417967967_n.jpg,https://www.facebook.com/marketplace/item/2127850604303807/,kingman_az_exact_files/499251480_1046322103532206_6866293123417967967_n.jpg,$53,RYOBI ONE+ 18V Cordless Hybrid WHISPER SERIES 7-1/2 in. Fan (Tool Only),"Tulare, CA",kingman_az_exact
Other,491756070_1638737130118198_2126959333031740998_n.jpg,https://www.facebook.com/marketplace/item/1222420486004745/,boise_id_500_mi_exact_files/491756070_1638737130118198_2126959333031740998_n.jpg,$45,RYOBI ONE+ 18V Compression Drive Cordless 3/8 in. Crown Stapler,"Meridian, ID",boise_id_500_mi_exact
Other,482140541_2491383137866832_1203861229991917633_n.jpg,https://www.facebook.com/marketplace/item/504738642397681/,cedar_rapid_ia_500mi_files/482140541_2491383137866832_1203861229991917633_n.jpg,$120,Ryobi trimmer 18 V,"Howell, MI",cedar_rapid_ia_500mi
Other,442477158_460430263204552_2259664569415210202_n.jpg,https://www.facebook.com/marketplace/item/1624710874955605/,woodbury_ny_500mi_exact_files/442477158_460430263204552_2259664569415210202_n.jpg,$30,RYOBI 3/8 DRILL  #D43,"Youngstown, OH",woodbury_ny_500mi_exact
Other,457064978_10231034947091219_4214008205905858251_n.jpg,,,,,,
Other,374728608_6891722827513534_1385086119903652145_n.jpg,https://www.facebook.com/marketplace/item/683645566576763/,albany_ga_500mi_exact_files/374728608_6891722827513534_1385086119903652145_n.jpg,$60,new Ryobi 18 volt battery n charger never opened,"Kenansville, NC",albany_ga_500mi_exact
Other,496702275_571988815941579_5934694764316323879_n.jpg,https://www.facebook.com/marketplace/item/1209085794287495/,cedar_rapid_ia_500mi_exact_files/496702275_571988815941579_5934694764316323879_n.jpg,$150,Saw for sell asking $150 if interested message me,"Watseka, IL",cedar_rapid_ia_500mi_exact
